Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Uptown Funk";"Bruno Mars";2014;0;0;2015-01-12;Funk,Pop,Electro
"Thinking Out Loud";"Ed Sheeran";2014;0;0;2014-09-02;Pop,Folk
"All Of Me";"John Legend";2013;0;0;2013-10-08;Soul,Pop
"Girl Crush";"Little Big Town";2014;0;0;2014-12-22;"Country,Love,Soft rock"
"Shut Up And Dance";"Walk the Moon";2014;0;0;2015-02-24;Pop,Rock,Dance
Happy;"Pharrell Williams";2013;0;0;2013-11-22;"Funk,Soul,Pop,TV & movie soundtrack"
"House Of The Rising Sun";Traditional;1700;0;0;2008-06-26;Traditionnal,Blues,Rock
"Fight Song";"Rachel Platten";2015;0;0;2015-06-25;Pop,Electro,Rock
"La Bamba";"Mexican Traditional";1600;0;0;2008-06-25;Latin,Traditionnal
"Amazing Grace";Traditional;1831;0;0;2008-06-25;Traditionnal,Blues
Flashlight;"Jessie J";2015;0;0;2015-06-16;"TV & movie soundtrack,Pop"
"Cheerleader (Felix Jaehn Remix)";OMI;2014;0;0;2015-03-01;Pop,Electro,Reggae
"All About That Bass";"Meghan Trainor";2014;0;1;2014-08-29;Pop,Soul
"Let It Go";"Idina Menzel";2013;0;0;2015-04-08;"TV & movie soundtrack,Pop"
"Don't Stop Believing";Journey;1981;0;0;2008-01-22;Rock,Pop
"Shake It Off";"Taylor Swift";2014;0;0;2014-09-01;Pop
Photograph;"Ed Sheeran";2014;0;0;2014-09-12;Pop
"Dear Future Husband";"Meghan Trainor";2014;0;0;2014-10-28;R&B,Pop,Soul
"Marvin Gaye";"Charlie Puth";2015;1;0;2015-05-26;Pop,Duet
Sugar;"Maroon 5";2014;0;1;2014-12-12;Pop,Funk,Rock
"Like I'm Gonna Lose You";"Meghan Trainor";2015;1;0;2015-03-31;Pop,R&B,Soul,Duet
Andalouse;"Kendji Girac";2014;0;0;2014-10-29;"French pop,Electro,Latin"
"Sweet Caroline";"Neil Diamond";1969;0;0;2011-05-31;Pop
"Libérée, délivrée";Frozen;2013;0;0;2015-04-08;"TV & movie soundtrack,French pop"
"A Thousand Years";"Christina Perri";2011;0;0;2012-03-05;"Pop,TV & movie soundtrack"
"Stay With Me";"Sam Smith";2014;0;0;2014-04-24;Pop,Soul
"I'm Not The Only One";"Sam Smith";2014;0;0;2014-07-22;Pop,Soul
"Love Me Like You Do";"Ellie Goulding";2014;0;0;2015-01-29;"Pop,Electro,TV & movie soundtrack"
"Rolling In The Deep";Adele;2010;0;0;2011-09-05;Pop,Soul
"Bohemian Rhapsody";Queen;1975;0;0;2008-07-21;Rock
"Le chant des sirènes";"Fréro Delavega";2014;1;0;2015-06-04;"French pop,Duet"
"See You Again";"Wiz Khalifa";2015;1;0;2015-06-18;"Pop,Rap,TV & movie soundtrack,Duet"
"Summer Nights";Grease;1978;1;0;2008-07-17;"TV & movie soundtrack,Rock 'n Roll,Pop,Oldies,Duet"
"Friends In Low Places";"Garth Brooks";1990;0;0;2007-05-31;Country
"Ring Of Fire";"Johnny Cash";1963;0;0;2012-01-04;"Country,Rock 'n Roll"
"Can't Help Falling In Love";"Elvis Presley";1961;0;0;2011-05-30;Pop,Soul,Oldies,Love
"Want To Want Me";"Jason Derülo";2015;0;0;2015-05-18;Pop,R&B,Electro
"Honey I'm Good";"Andy Grammer";2014;0;0;2015-05-12;Pop
"Mistral gagnant";Renaud;1985;0;0;2014-01-13;"French pop"
"My Way";"Frank Sinatra";1969;0;0;2007-05-29;Oldies
"Folsom Prison Blues";"Johnny Cash";1957;0;0;2007-05-04;Country
"Les Champs-Élysées";"Joe Dassin";1969;0;0;2012-01-23;"French pop"
"Say Something";"A Great Big World";2013;1;0;2014-01-08;Pop,Duet
"At Last";"Etta James";1961;0;0;2008-02-07;Soul,Oldies,Blues
"Summer Of '69";"Bryan Adams";1984;0;0;2011-05-30;Rock,Pop
"I Will Always Love You";"Whitney Houston";1992;0;0;2007-05-29;"Love,Soul,Pop,TV & movie soundtrack"
"Take Me To Church";Hozier;2013;0;0;2014-10-17;Soul,Rock
"Sweet Home Alabama";"Lynyrd Skynyrd";1974;0;0;2007-05-30;Rock,Country
"Ain't Nobody (Loves Me Better)  (Felix Jaehn Remix)";"Jasmine Thompson";2015;0;0;2015-06-26;Pop,Dance,Electro
Hallelujah;"Alexandra Burke";2008;0;0;2011-05-30;Pop
Crazy;"Patsy Cline";1961;0;0;2007-05-04;Jazz,Pop
"Sweet Child O'Mine";"Guns N' Roses";1990;0;0;2008-01-15;Rock,Hard/Metal
"Fly Me To The Moon";"Frank Sinatra";1964;0;0;2008-07-18;Jazz
"Bad Blood";"Taylor Swift";2014;0;0;2015-01-12;Pop,Electro
"Atemlos durch die Nacht";"Helene Fischer";2013;0;0;2014-03-13;Schlager
"Wagon Wheel";"Darius Rucker";2013;0;0;2013-07-01;Country
"My Girl";"The Temptations";1965;0;0;2007-06-18;Soul,Pop,Oldies
"Black Velvet";"Alannah Myles";1989;0;0;2007-05-04;Rock
"Sur ma route";"Black M";2014;0;0;2014-11-03;"French pop,Rap,Dance"
"Cups (You're Gonna Miss Me When I'm Gone)";"Pitch Perfect";2013;0;0;2013-05-22;"TV & movie soundtrack,Folk,Pop,Musical"
"Blank Space";"Taylor Swift";2014;0;0;2015-01-12;Pop
Bailando;"Enrique Iglesias";2014;0;0;2014-07-07;Latin,Pop,Reggae
"I Will Survive";"Gloria Gaynor";1979;0;0;2007-05-04;Disco
"Unchained Melody";"The Righteous Brothers";1965;0;0;2007-05-04;Love,Soul,Oldies
"The Rose";"Bette Midler";1979;0;0;2007-05-04;"TV & movie soundtrack,Pop"
"On va s'aimer";"Gilbert Montagné";1984;0;0;2014-12-24;"French pop,80s"
"Buy Me A Boat";"Chris Janson";2015;0;0;2015-07-29;Country,Rock
"Stand By Me";"Ben E. King";1961;0;0;2008-07-25;Soul
"Make You Feel My Love";Adele;2008;0;0;2011-11-09;Soul,Pop
"Take Me Home, Country Roads";"John Denver";1971;0;0;2011-05-31;Country
"Auf uns";"Andreas Bourani";2014;0;0;2014-12-24;Pop,Rock
"New York, New York";"Frank Sinatra";1979;0;0;2008-01-07;"TV & movie soundtrack,Jazz"
