Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Uptown Funk";"Bruno Mars";2014;0;0;2015-01-12;Funk,Pop,Electro
"Thinking Out Loud";"Ed Sheeran";2014;0;0;2014-09-02;Pop,Folk
"All Of Me";"John Legend";2013;0;0;2013-10-08;Soul,Pop
"House Of The Rising Sun";Traditional;1700;0;0;2008-06-26;Traditionnal,Blues,Rock
"Shut Up And Dance";"Walk the Moon";2014;0;0;2015-02-24;Pop,Rock,Dance
"Girl Crush";"Little Big Town";2014;0;0;2014-12-22;"Country,Love,Soft rock"
"La Bamba";"Mexican Traditional";1600;0;0;2008-06-25;Latin,Traditionnal
"Amazing Grace";Traditional;1831;0;0;2008-06-25;Traditionnal,Blues
"Fight Song";"Rachel Platten";2015;0;0;2015-06-25;Pop,Electro,Rock
Happy;"Pharrell Williams";2013;0;0;2013-11-22;"Funk,Soul,Pop,TV & movie soundtrack"
"Cheerleader (Felix Jaehn Remix)";OMI;2014;0;0;2015-03-01;Pop,Electro,Reggae
Flashlight;"Jessie J";2015;0;0;2015-06-16;"TV & movie soundtrack,Pop"
"Marvin Gaye";"Charlie Puth";2015;1;0;2015-05-26;Pop,Duet
"Can't Feel My Face";"The Weeknd";2015;0;0;2015-09-01;Pop,Funk,Electro
"Shake It Off";"Taylor Swift";2014;0;0;2014-09-01;Pop
"All About That Bass";"Meghan Trainor";2014;0;1;2014-08-29;Pop,Soul
"Don't Stop Believing";Journey;1981;0;0;2008-01-22;Rock,Pop
Photograph;"Ed Sheeran";2014;0;0;2014-09-12;Pop
"Le chant des sirènes";"Fréro Delavega";2014;1;0;2015-06-04;"French pop,Duet"
"Like I'm Gonna Lose You";"Meghan Trainor";2015;1;0;2015-03-31;Pop,R&B,Soul,Duet
"Let It Go";"Idina Menzel";2013;0;0;2015-04-08;"TV & movie soundtrack,Pop"
Sugar;"Maroon 5";2014;0;1;2014-12-12;Pop,Funk,Rock
"A Thousand Years";"Christina Perri";2011;0;0;2012-03-05;"Pop,TV & movie soundtrack"
Andalouse;"Kendji Girac";2014;0;0;2014-10-29;"French pop,Electro,Latin"
"Ain't Nobody (Loves Me Better)  (Felix Jaehn Remix)";"Jasmine Thompson";2015;0;0;2015-06-26;Pop,Dance,Electro
"Sweet Caroline";"Neil Diamond";1969;0;0;2011-05-31;Pop
"Dear Future Husband";"Meghan Trainor";2014;0;0;2014-10-28;R&B,Pop,Soul
"Libérée, délivrée";Frozen;2013;0;0;2015-04-08;"TV & movie soundtrack,French pop"
"Rolling In The Deep";Adele;2010;0;0;2011-09-05;Pop,Soul
"I'm Not The Only One";"Sam Smith";2014;0;0;2014-07-22;Pop,Soul
"Stay With Me";"Sam Smith";2014;0;0;2014-04-24;Pop,Soul
"Bohemian Rhapsody";Queen;1975;0;0;2008-07-21;Rock
"All Of Me (Reggae Version)";"John Legend";2013;0;0;2015-09-15;Reggae,Pop
"Can't Help Falling In Love";"Elvis Presley";1961;0;0;2011-05-30;Pop,Soul,Oldies,Love
"Summer Nights";Grease;1978;1;0;2008-07-17;"TV & movie soundtrack,Rock 'n Roll,Pop,Oldies,Duet"
"Take Me To Church";Hozier;2013;0;0;2014-10-17;Soul,Rock
Hallelujah;"Alexandra Burke";2008;0;0;2011-05-30;Pop
"Summer Of '69";"Bryan Adams";1984;0;0;2011-05-30;Rock,Pop
"Mistral gagnant";Renaud;1985;0;0;2014-01-13;"French pop"
"Buy Me A Boat";"Chris Janson";2015;0;0;2015-07-29;Country,Rock
"Burning House";Cam;2015;0;0;2015-09-10;Love,Country
"Want To Want Me";"Jason Derülo";2015;0;0;2015-05-18;Pop,R&B,Electro
"Sweet Home Alabama";"Lynyrd Skynyrd";1974;0;0;2007-05-30;Rock,Country
"Ring Of Fire";"Johnny Cash";1963;0;0;2012-01-04;"Country,Rock 'n Roll"
"The Rose";"Bette Midler";1979;0;0;2007-05-04;"TV & movie soundtrack,Pop"
"My Way";"Frank Sinatra";1969;0;0;2007-05-29;Oldies
"Fly Me To The Moon";"Frank Sinatra";1964;0;0;2008-07-18;Jazz
"Honey I'm Good";"Andy Grammer";2014;0;0;2015-05-12;Pop
"Make You Feel My Love";Adele;2008;0;0;2011-11-09;Soul,Pop
"Atemlos durch die Nacht";"Helene Fischer";2013;0;0;2014-03-13;Schlager
Radioactive;"Madilyn Bailey";2013;0;0;2015-09-01;Pop,Folk,Alternative
"My Girl";"The Temptations";1965;0;0;2007-06-18;Soul,Pop,Oldies
"Friends In Low Places";"Garth Brooks";1990;0;0;2007-05-31;Country
"Like a Wrecking Ball";"Eric Church";2014;0;0;2015-09-03;Rock,Country,Love
Crazy;"Patsy Cline";1961;0;0;2007-05-04;Jazz,Pop
"Bad Blood";"Taylor Swift";2014;0;0;2015-01-12;Pop,Electro
"Black Magic";"Little Mix";2015;0;0;2015-08-31;"Teen pop,Pop,R&B,Electro"
"Love Me Like You Do";"Ellie Goulding";2014;0;0;2015-01-29;"Pop,Electro,TV & movie soundtrack"
"See You Again";"Wiz Khalifa";2015;1;0;2015-06-18;"Pop,Rap,TV & movie soundtrack,Duet"
"Say Something";"A Great Big World";2013;1;0;2014-01-08;Pop,Duet
"At Last";"Etta James";1961;0;0;2008-02-07;Soul,Oldies,Blues
"Folsom Prison Blues";"Johnny Cash";1957;0;0;2007-05-04;Country
"New York, New York";"Frank Sinatra";1979;0;0;2008-01-07;"TV & movie soundtrack,Jazz"
"Hold Back The River";"James Bay";2014;0;0;2014-12-12;Pop,Rock
"I Will Always Love You";"Whitney Houston";1992;0;0;2007-05-29;"Love,Soul,Pop,TV & movie soundtrack"
"Unchained Melody";"The Righteous Brothers";1965;0;0;2007-05-04;Love,Soul,Oldies
"Cups (You're Gonna Miss Me When I'm Gone)";"Pitch Perfect";2013;0;0;2013-05-22;"TV & movie soundtrack,Folk,Pop,Musical"
"What A Wonderful World";"Louis Armstrong";1968;0;0;2007-05-29;Pop,Oldies
"Blank Space";"Taylor Swift";2014;0;0;2015-01-12;Pop
"Sur ma route";"Black M";2014;0;0;2014-11-03;"French pop,Rap,Dance"
"On va s'aimer";"Gilbert Montagné";1984;0;0;2014-12-24;"French pop,80s"
