Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Jingle Bells";"Christmas Carol";1857;0;0;2008-06-26;Christmas,Traditionnal,Kids
"Uptown Funk";"Bruno Mars";2014;0;0;2015-01-12;Funk,Pop,Electro
"We Wish You A Merry Christmas";"Christmas Carol";1600;0;0;2008-06-26;Christmas,Traditionnal,Kids
"All I Want For Christmas Is You";"Mariah Carey";1994;0;0;2007-10-19;Christmas,Pop
"Santa Claus Is Coming To Town";"Christmas Carol";1934;0;0;2012-09-13;Christmas,Traditionnal
"O Holy Night";"Christmas Carol";1847;0;0;2011-05-30;Christmas,Christian,Traditionnal
"Silent Night";"Christmas Carol";1818;0;0;2008-06-26;Christmas,Traditionnal,Kids
"Jingle Bells (slow version)";"Christmas Carol";1857;0;0;2011-05-31;Christmas,Traditionnal
"Thinking Out Loud";"Ed Sheeran";2014;0;0;2014-09-02;Pop,Folk
"Joy To The World";"Christmas Carol";1839;0;0;2011-05-30;Christmas,Traditionnal
"All Of Me";"John Legend";2013;0;0;2013-10-08;Soul,Pop
"Rockin' Around The Christmas Tree";"Brenda Lee";1964;0;0;2007-11-16;Christmas,Pop,Rock
"Like I'm Gonna Lose You";"Meghan Trainor";2015;1;0;2015-03-31;Pop,R&B,Soul,Duet
Imagine;"John Lennon";1971;0;0;2007-05-15;"Pop,Soft rock"
"Can't Feel My Face";"The Weeknd";2015;0;0;2015-09-01;Pop,Funk,Electro
"White Christmas";"Bing Crosby";1942;0;0;2011-05-31;Christmas,Oldies
"Shut Up And Dance";"Walk The Moon";2014;0;0;2015-02-24;Pop,Rock,Dance
"White Christmas (Duet with Shania Twain)";"Michael Bublé";2011;1;0;2011-11-22;Christmas,Duet,Jazz
"The Christmas Song (Chestnuts Roasting)";"Christmas Carol";1846;0;0;2012-09-06;Christmas,Traditionnal,Jazz
"Amazing Grace";Traditional;1831;0;0;2008-06-25;Traditionnal,Blues
"Tennessee Whiskey";"Chris Stapleton";2015;0;0;2015-07-21;Blues,Rock,Country
"Marvin Gaye";"Charlie Puth";2015;1;0;2015-05-26;Pop,Duet
"Girl Crush";"Little Big Town";2014;0;0;2014-12-22;"Country,Love,Soft rock"
"O Come All Ye Faithful";"Christmas Carol";1782;0;0;2011-05-30;Christmas
"The First Noel";"Christmas Carol";1833;0;0;2011-05-30;Christmas,Traditionnal
Happy;"Pharrell Williams";2013;0;0;2013-11-22;"Funk,Soul,Pop,TV & movie soundtrack"
"Hark! The Herald Angels Sing";"Christmas Carol";1855;0;0;2011-05-31;Christmas,Traditionnal
"Let It Snow! Let It Snow! Let It Snow!";"Michael Bublé";2003;0;0;2012-01-27;Christmas,Jazz
"Last Christmas";Wham!;1985;0;0;2012-02-07;Christmas,Pop,80s
"Rolling In The Deep";Adele;2010;0;0;2011-09-05;Pop,Soul
"Rudolph The Red-Nosed Reindeer";"Dean Martin";1959;0;0;2014-11-12;Christmas,Oldies,Jazz
"Have Yourself A Merry Little Christmas";"Michael Bublé";2011;0;0;2011-11-25;Christmas,Jazz,Pop
"Jingle Bell Rock";"Bobby Helms";1957;0;0;2011-05-31;"Christmas,Rock 'n Roll,Oldies"
"Don't Stop Believing";Journey;1981;0;0;2008-01-22;Rock,Pop
"Writing's On The Wall";"Sam Smith";2015;0;0;2015-11-05;"TV & movie soundtrack,Pop"
"House Of The Rising Sun";Traditional;1700;0;0;2008-06-26;Traditionnal,Blues,Rock
"Let It Go";"Idina Menzel";2013;0;0;2015-04-08;"TV & movie soundtrack,Pop"
"Jingle Bells (jazzy version)";"Christmas Carol";1857;0;0;2011-05-31;Christmas,Traditionnal,Jazz
"Stille Nacht, Heilige Nacht";"Christmas Carol";1818;0;0;2008-06-26;Christmas,Traditionnal,Kids
"We Wish You A Merry Christmas (slow version)";"Christmas Carol";1600;0;0;2011-05-30;Christmas,Traditionnal
"Ex's & Oh's";"Elle King";2014;0;0;2015-05-28;Rock,Alternative
Andalouse;"Kendji Girac";2014;0;0;2014-10-29;"French pop,Electro,Latin"
