Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Uptown Funk";"Bruno Mars";2014;0;0;2015-01-12;Funk,Pop,Electro
"Thinking Out Loud";"Ed Sheeran";2014;0;0;2014-09-02;Pop,Folk
"All Of Me";"John Legend";2013;0;0;2013-10-08;Soul,Pop
"House Of The Rising Sun";Traditional;1700;0;0;2008-06-26;Traditionnal,Blues,Rock
"Can't Feel My Face";"The Weeknd";2015;0;0;2015-09-01;Pop,Funk,Electro
"Girl Crush";"Little Big Town";2014;0;0;2014-12-22;"Country,Love,Soft rock"
Happy;"Pharrell Williams";2013;0;0;2013-11-22;"Funk,Soul,Pop,TV & movie soundtrack"
"Shut Up And Dance";"Walk The Moon";2014;0;0;2015-02-24;Pop,Rock,Dance
"Marvin Gaye";"Charlie Puth";2015;1;0;2015-05-26;Pop,Duet
"Don't Stop Believing";Journey;1981;0;0;2008-01-22;Rock,Pop
"Amazing Grace";Traditional;1831;0;0;2008-06-25;Traditionnal,Blues
"Fight Song";"Rachel Platten";2015;0;0;2015-06-25;Pop,Electro,Rock
"Let It Go";"Idina Menzel";2013;0;0;2015-04-08;"TV & movie soundtrack,Pop"
"All About That Bass";"Meghan Trainor";2014;0;1;2014-08-29;Pop,Soul
"Like I'm Gonna Lose You";"Meghan Trainor";2015;1;0;2015-03-31;Pop,R&B,Soul,Duet
"La Bamba";"Mexican Traditional";1600;0;0;2008-06-25;Latin,Traditionnal
"Shake It Off";"Taylor Swift";2014;0;0;2014-09-01;Pop
Andalouse;"Kendji Girac";2014;0;0;2014-10-29;"French pop,Electro,Latin"
"Sweet Caroline";"Neil Diamond";1969;0;0;2011-05-31;Pop
"Cheerleader (Felix Jaehn Remix)";OMI;2014;0;0;2015-03-01;Pop,Electro,Reggae
Photograph;"Ed Sheeran";2014;0;0;2014-09-12;Pop
"Bohemian Rhapsody";Queen;1975;0;0;2008-07-21;Rock
"Monster Mash";"Bobby Boris Pickett";1962;0;0;2007-10-15;"Musical,Rock 'n Roll,Oldies"
"Rolling In The Deep";Adele;2010;0;0;2011-09-05;Pop,Soul
"Libérée, délivrée";Frozen;2013;0;0;2015-04-08;"TV & movie soundtrack,French pop"
"Summer Nights";Grease;1978;1;0;2008-07-17;"TV & movie soundtrack,Rock 'n Roll,Pop,Oldies,Duet"
"Ex's & Oh's";"Elle King";2014;0;0;2015-05-28;Rock,Alternative
"Le chant des sirènes";"Fréro Delavega";2014;1;0;2015-06-04;"French pop,Duet"
"Burning House";Cam;2015;0;0;2015-09-10;Love,Country
"Jingle Bells";"Christmas Carol";1857;0;0;2008-06-26;Christmas,Traditionnal,Kids
"A Thousand Years";"Christina Perri";2011;0;0;2012-03-05;"Pop,TV & movie soundtrack"
"Ring Of Fire";"Johnny Cash";1963;0;0;2012-01-04;"Country,Rock 'n Roll"
Sugar;"Maroon 5";2014;0;1;2014-12-12;Pop,Funk,Rock
"Friends In Low Places";"Garth Brooks";1990;0;0;2007-05-31;Country
Flashlight;"Jessie J";2015;0;0;2015-06-16;"TV & movie soundtrack,Pop"
"I'm Not The Only One";"Sam Smith";2014;0;0;2014-07-22;Pop,Soul
"Buy Me A Boat";"Chris Janson";2015;0;0;2015-07-29;Country,Rock
"Dear Future Husband";"Meghan Trainor";2014;0;0;2014-10-28;R&B,Pop,Soul
"The Rose";"Bette Midler";1979;0;0;2007-05-04;"TV & movie soundtrack,Pop"
"Watch Me (Whip / Nae Nae)";Silentó;2015;0;0;2015-09-22;Rap
"Stay With Me";"Sam Smith";2014;0;0;2014-04-24;Pop,Soul
"I Will Always Love You";"Whitney Houston";1992;0;0;2007-05-29;"Love,Soul,Pop,TV & movie soundtrack"
"My Way";"Frank Sinatra";1969;0;0;2007-05-29;Oldies
"Fly Me To The Moon";"Frank Sinatra";1964;0;0;2008-07-18;Jazz
"Folsom Prison Blues";"Johnny Cash";1957;0;0;2007-05-04;Country
"Say Something";"A Great Big World";2013;1;0;2014-01-08;Pop,Duet
"We Wish You A Merry Christmas";"Christmas Carol";1600;0;0;2008-06-26;Christmas,Traditionnal,Kids
"Summer Of '69";"Bryan Adams";1984;0;0;2011-05-30;Rock,Pop
"Sweet Home Alabama";"Lynyrd Skynyrd";1974;0;0;2007-05-30;Rock,Country
Ghostbusters;"Ray Parker Jr.";1980;0;0;2011-06-17;"TV & movie soundtrack,Pop,80s"
"Sweet Child O'Mine";"Guns N' Roses";1990;0;0;2008-01-15;Rock,Hard/Metal
"All I Want For Christmas Is You";"Mariah Carey";1994;0;0;2007-10-19;Christmas,Pop
Crazy;"Patsy Cline";1961;0;0;2007-05-04;Jazz,Pop
Hallelujah;"Alexandra Burke";2008;0;0;2011-05-30;Pop
"My Girl";"The Temptations";1965;0;0;2007-06-18;Soul,Pop,Oldies
"Ain't Nobody (Loves Me Better)  (Felix Jaehn Remix)";"Jasmine Thompson";2015;0;0;2015-06-26;Pop,Dance,Electro
"Mistral gagnant";Renaud;1985;0;0;2014-01-13;"French pop"
"Can't Help Falling In Love";"Elvis Presley";1961;0;0;2011-05-30;Pop,Soul,Oldies,Love
"Like a Wrecking Ball";"Eric Church";2014;0;0;2015-09-03;Rock,Country,Love
"New York, New York";"Frank Sinatra";1979;0;0;2008-01-07;"TV & movie soundtrack,Jazz"
"I Will Survive";"Gloria Gaynor";1979;0;0;2007-05-04;Disco
Zombie;"The Cranberries";1994;0;0;2011-11-02;Rock,Alternative
Stitches;"Shawn Mendes";2015;0;0;2015-07-01;Rock,Pop
"Make You Feel My Love";Adele;2008;0;0;2011-11-09;Soul,Pop
"I Put A Spell On You";"Bette Midler";1993;0;0;2011-05-30;"TV & movie soundtrack,Musical"
Oublie-moi;"Coeur de pirate";2015;0;0;2015-10-07;"French pop"
"How Deep Is Your Love";"Calvin Harris";2015;0;0;2015-09-22;Electro,Dance
"Black Velvet";"Alannah Myles";1989;0;0;2007-05-04;Rock
"You Raise Me Up";"Josh Groban";2003;0;0;2007-05-04;Pop,Christian
"What A Wonderful World";"Louis Armstrong";1968;0;0;2007-05-29;Pop,Oldies
"Les Champs-Élysées";"Joe Dassin";1969;0;0;2012-01-23;"French pop"
"On va s'aimer";"Gilbert Montagné";1984;0;0;2014-12-24;"French pop,80s"
